Rank,Industry,Sector,Relative Strength,Percentile,1 Month Ago,3 Months Ago,6 Months Ago,Tickers
1,Software - Infrastructure,Technology,172.86,98,81,90,0,"ALAR,HUBC"
2,Utilities - Renewable,Utilities,144.46,98,99,99,99,"ENLT,VGAS"
3,Coking Coal,Basic Materials,143.77,97,98,98,56,"METC,AMR,HCC,SXC,AREC"
4,Residential Construction,Consumer Cyclical,129.95,97,97,94,99,"HOV,DFH,MHO,BZH,PHM,TOL,KBH,MTH,DHI,CCS,MDC,LEN,GRBK,TPH,TMHC,NVR,CVCO,LEGH,LGIH,SKY"
5,Capital Markets,Financial Services,120.18,96,92,50,95,"MARA,BITF,MIGI,ARBK,IREN,BTBT,APLD,BTCS,CIFR,MFH,WULF,XP,GREE,HUT,HIVE,EVR,SDIG,MC,DFIN,PJT,TW,PWP,NMR,LAZ,GS,HLI,PIPR,SF,COHN,SCHW,JEF,SNEX,VIRT,SRL,RJF,MS,TIGR,WHG,FRHC,IBKR,LPLA,OPY,FUTU,MKTX,SIEB,AC,SAI,AMRK,HGBL,MEGL,TOP,ATIF,LGHL,NCPL"
6,Uranium,Energy,118.36,95,98,99,56,"UEC,EU,NXE,CCJ,LEU,DNN,URG,UUUU,UROY"
7,Mortgage Finance,Financial Services,112.98,95,87,80,84,"LDI,RKT,VEL,UWMC,PFSI,WD,COOP,GHLD,IOR,SNFCA,OCN,GHI,ECPG,CNF"
8,Building Materials,Basic Materials,112.58,94,95,86,97,"SMID,BCC,JHX,CX,CRH,EXP,MLM,USLM,TGLS,SUM,VMC,CPAC,LOMA,RETO"
9,Marine Shipping,Industrials,112.01,93,88,88,6,"GASS,GLBS,TOPS,PSHG,ESEA,MATX,SHIP,EDRY,TORO,PANL,DAC,NMM,SB,NAT,EGLE,GOGL,CMRE,CPLP,SFL,ASC,GNK,ZIM,GSL,SBLK,PXS,SMHI,CLCO,KEX,PXSAP,CTRM,KNOP,USEA,OP,DSX,GRIN,CACO"
10,Building Products & Equipment,Industrials,109.49,93,90,75,90,"ASPN,PGTI,BLDR,SSD,IBP,LII,BXC,TREX,ROCK,AZEK,AWI,JELD,JBI,GMS,OC,WMS,BECN,AAON,TT,CSL,MAS,APT,FBIN,NX,LPX,CARR,APOG,PPIH,JCI,DOOR,CSTE,SWIM,ILAG,AEHL,VIEW"
11,Advertising Agencies,Communication Services,108.98,92,89,35,73,"DRCT,INUV,ICLK,TZOO,ADV,NCMI,CMPR,CCO,EEX,CTV,ADTH,TSQ,QNST,DLX,FLNT,IAS,STGW,OMC,TRMR,HHS,MGNI,WPP,IPG,CDLX,ZD,WIMI,STCN,XNET,CRTO,MCHX,BOC,BAOS,CNET,MGOL"
12,Airports & Air Services,Industrials,108.88,91,34,47,93,"UP,CAAP,ASR,JOBY,OMAB,PAC,BLDE,ASLE"
13,Business Equipment & Supplies,Industrials,108.55,91,96,96,30,"SCS,HNI,ACCO,AVY,EBF"
14,Utilities—Independent Power Producers,Utilities,108.54,90,93,86,66,"VST,NRG,PAM,KEN,TAC"
15,Steel,Basic Materials,108.25,89,85,83,84,"USAP,X,SID,ZKIN,ASTL,ZEUS,FRD,PKX,CLF,ACNT,NUE,RS,TMST,STLD,TX,MT,CMC,GGB,MSB,SIM,HUDI"
16,Thermal Coal,Energy,108.1,89,96,98,20,"NRP,CEIX,ARCH,ARLP,BTU,NC,HNRG"
17,Electronics & Computer Distribution,Technology,107.72,88,91,90,86,"IZM,CNXN,NSIT,SCSC,CLMB,SNX,AVT,ARW,TAIT,SNPO,AEY"
18,Infrastructure Operations,Industrials,106.88,87,94,94,98,"ACA,VRRM"
19,REIT—Office,Real Estate,106.5,87,74,47,11,"NYC,HPP,FSP,VNO,SLG,FISK,ESBA,OGCP,BDN,BXP,KRC,CIO,DLR,CUZ,ARE,DEI,JBGS,PDM,OPI,PGRE,DEA,HIW,PSTL,EQC,ONL,ELME,CMCT"
20,Banks—Diversified,Financial Services,104.88,86,88,87,81,"NU,UBS,EWBC,BBVA,C,BAC,WFC,JPM,CM,MUFG,SAN,BMO,NTB,SMFG,RY,ING,HSBC,TD,BCS,BNS,NWG"
21,Insurance—Life,Financial Services,103.9,85,92,91,65,"FG,NWLI,JXN,VERY,AAME,GNW,MFC,CNO,PRI,AFL,AEL,LNC,PRU,BHF,MET,BHFAN,BHFAM,GL,BHFAP,UNM,BHFAO,CIA,PUK"
22,Healthcare Plans,Healthcare,102.63,85,86,46,3,"OSCR,MRAI,MOH,BHG,CI,CVS,CNC,ALHC,UNH,ELV,CLOV,HUM"
23,Industrial Distribution,Industrials,102.48,84,90,96,94,"CNM,GIC,FERG,DSGR,GWW,WSO,AIT,WCC,TRNS,FAST,POOL,SITE,MSM,DXPE,TITN,EVI"
24,Rental & Leasing Services,Industrials,101.96,83,79,71,88,"FTAI,FPAY,TGH,URI,MPU,R,AER,PRG,UHAL,MGRC,HRI,HEES,FTAIO,FTAIP,FTAIN,GATX,AAN,AL,WLFC,WSC,CTOS,CAR,ALTG,HTZ"
25,Insurance—Property & Casualty,Financial Services,101.9,83,94,84,41,"HRTG,HCI,KINS,ROOT,SKWD,STC,ALL,MCY,LMND,UVE,L,PGR,WRB,TRV,PLMR,CNA,CB,DGICB,SIGIP,HMN,CINF,GBLI,AXS,THG,AFG,KNSL,KMPR,SIGI,SAFT,MKL,WTM,RLI,NODK,DGICA,CNFR,UFCS,HGTY,PRA"
26,Engineering & Construction,Industrials,101.82,82,84,97,92,"LMB,ESOA,BLD,STRL,IESC,ORN,FIX,APG,ROAD,STN,MTRX,GVA,TPC,EME,PWR,DY,FLR,MYRG,GLDD,PRIM,AGX,BBCP,WLDN,TTEK,ACM,J,NVEE,KBR,MTZ,AMRC,SLND,ENG,VATE,BLNK,AGFY"
