Rank,Ticker,Sector,Industry,Exchange,Relative Strength,Percentile,1 Month Ago,3 Months Ago,6 Months Ago
1,COSM,Healthcare,Drug Manufacturers—Specialty & Generic,NASDAQ,566.53,99,99,99,0
2,CABA,Healthcare,Biotechnology,NASDAQ,452.44,99,99,99,8
3,AAMC,Financial Services,Asset Management,NYSE MKT,421.68,99,99,99,88
4,NYC,Real Estate,REIT—Office,NYSE,413.96,99,99,99,12
5,VKTX,Healthcare,Biotechnology,NASDAQ,402.84,99,99,99,86
6,AMAM,Healthcare,Biotechnology,NASDAQ,387.2,99,99,83,3
7,BMEA,Healthcare,Biotechnology,NASDAQ,363.98,99,98,34,95
8,ARDX,Healthcare,Biotechnology,NASDAQ,336.59,99,99,99,99
9,PRVB,Healthcare,Biotechnology,NASDAQ,328.95,99,99,97,97
10,UNCY,Healthcare,Biotechnology,NASDAQ,303.95,99,99,15,12
11,UCL,Communication Services,Telecom Services,NASDAQ,302.2,99,99,99,5
12,NVCN,Healthcare,Medical Devices,NASDAQ,300.45,99,99,99,34
13,RETA,Healthcare,Biotechnology,NASDAQ,287.23,99,99,92,71
14,EMAN,Technology,Electronic Components,NYSE MKT,274.83,99,96,63,25
15,UIHC,Financial Services,Insurance—Property & Casualty,NASDAQ,272.28,99,99,93,1
16,FTFT,Technology,Software—Application,NASDAQ,272.13,99,99,31,20
17,TGTX,Healthcare,Biotechnology,NASDAQ,267.32,99,99,98,21
18,COOLW,n/a,n/a,NASDAQ,265.97,99,98,90,0
19,VRNA,Healthcare,Biotechnology,NASDAQ,261.64,99,99,99,99
20,TERN,Healthcare,Biotechnology,NASDAQ,255.8,99,99,99,99
21,ETNB,Healthcare,Biotechnology,NASDAQ,249.22,99,99,99,99
22,PESI,Industrials,Waste Management,NASDAQ,249.02,99,99,24,22
23,LUCYW,n/a,n/a,NASDAQ,241.07,99,97,0,9
24,EOSEW,n/a,n/a,NASDAQ,240.86,99,54,12,16
25,RCEL,Healthcare,Medical Devices,NASDAQ,236.16,99,99,89,21
26,ROCAR,n/a,n/a,NASDAQ,233.1,99,99,93,12
27,GRIL,Consumer Cyclical,Restaurants,NASDAQ,232.82,99,99,99,42
28,XPON,Industrials,Electrical Equipment & Parts,NASDAQ,232.35,99,99,31,8
29,NAAS,Consumer Cyclical,Specialty Retail,NASDAQ,231.84,99,29,92,67
30,SY,Healthcare,Health Information Services,NASDAQ,230.7,99,99,98,6
31,IFRX,Healthcare,Biotechnology,NASDAQ,228.95,99,43,93,96
32,USX,Industrials,Trucking,NYSE,227.23,99,12,15,17
33,LUCY,Healthcare,Medical Instruments & Supplies,NASDAQ,224.36,99,61,2,3
34,RPHM,Healthcare,Biotechnology,NASDAQ,223.19,99,98,17,43
35,BIVI,Healthcare,Biotechnology,NASDAQ,222.49,99,99,98,61
36,INTT,Technology,Semiconductor Equipment & Materials,NYSE MKT,221.33,99,98,97,37
37,HROW,Healthcare,Drug Manufacturers—Specialty & Generic,NASDAQ,220.9,99,99,97,98
38,INZY,Healthcare,Biotechnology,NASDAQ,219.84,99,91,7,12
39,MLTX,Healthcare,Biotechnology,NASDAQ,219.2,99,99,97,98
40,ELF,Consumer Defensive,Household & Personal Products,NYSE,217.75,99,99,96,98
41,BGRYW,n/a,n/a,NASDAQ,214.21,99,70,9,10
42,RXDX,Healthcare,Biotechnology,NASDAQ,214.2,99,99,99,98
43,KC,Technology,Software—Application,NASDAQ,213.92,99,88,91,7
44,PT,Financial Services,Credit Services,NASDAQ,213.43,99,15,3,3
45,LMB,Industrials,Engineering & Construction,NASDAQ,212.41,99,98,97,93
46,ASUR,Technology,Software—Application,NASDAQ,210.36,99,99,98,39
47,AEHR,Technology,Semiconductor Equipment & Materials,NASDAQ,209.31,99,99,99,97
48,HUGE,Healthcare,Drug Manufacturers—Specialty & Generic,NASDAQ,209.13,99,97,41,35
49,CBAY,Healthcare,Biotechnology,NASDAQ,208.71,99,99,98,76
50,OBIO,Healthcare,Biotechnology,NASDAQ,208.59,99,98,53,75
51,SYM,Financial Services,Shell Companies,NASDAQ,207.65,99,96,80,92
52,MDGL,Healthcare,Biotechnology,NASDAQ,206.92,99,99,99,65
53,YPF,Energy,Oil & Gas Integrated,NYSE,206.83,99,98,99,99
54,EZGO,Consumer Cyclical,Recreational Vehicles,NASDAQ,201.28,99,99,97,6
55,CATX,n/a,n/a,NYSE MKT,200.86,99,95,26,62
56,PMTS,Financial Services,Credit Services,NASDAQ,200.14,99,98,99,87
57,SERA,Healthcare,Diagnostics & Research,NASDAQ,199.08,99,99,16,13
58,INOD,Technology,Information Technology Services,NASDAQ,198.99,99,98,16,16
59,INTA,Technology,Software—Application,NASDAQ,198.83,99,98,94,88
60,MNSO,Consumer Cyclical,Specialty Retail,NYSE,198.81,99,99,98,14
61,MACK,Healthcare,Biotechnology,NASDAQ,197.51,99,98,99,48
62,CVV,Industrials,Specialty Industrial Machinery,NASDAQ,196.28,99,99,98,90
63,VIST,Energy,Oil & Gas E&P,NYSE,196.18,99,98,98,99
64,BBAI,Technology,Information Technology Services,NYSE,193.76,99,96,90,1
65,OCUP,Healthcare,Biotechnology,NASDAQ,192.68,99,93,96,53
66,SMCI,Technology,Computer Hardware,NASDAQ,190.94,99,96,98,97
67,CIFR,Financial Services,Capital Markets,NASDAQ,190.29,99,96,13,4
